ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,DAYS_SINCE_LASTORDER,STATUS,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE1,CITY,POSTALCODE,COUNTRY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE
10015,95,275.68,3,26189.6,2018-08-23,25,Resolved,Vintage Cars,358.7,S973-9701,Customer_323,+8-620-2312,3045 Main Street,Toronto,87992,Canada,LastName_1383,FirstName_1766,Small
10016,52,68.74,5,3574.48,2020-10-05,296,Resolved,Motorcycles,92.64,S529-9565,Customer_648,+34-309-6147,3911 Main Street,Paris,61876,UK,LastName_1376,FirstName_1322,Medium
10017,59,164.93,1,9730.87,2018-02-08,234,Resolved,Planes,247.14,S175-9808,Customer_437,+65-371-3170,5719 Main Street,Toronto,42018,Australia,LastName_584,FirstName_324,Medium
10018,70,354.73,5,24831.1,2025-05-02,270,Shipped,Ships,506.14,S406-2697,Customer_1923,+18-370-2891,1754 Main Street,Amsterdam,30374,France,LastName_578,FirstName_1239,Small
10019,92,178.01,3,16376.92,2023-09-02,250,On Hold,Trains,199.43,S749-7939,Customer_1699,+36-145-1058,5465 Main Street,London,93507,France,LastName_331,FirstName_1519,Medium
10020,71,355.78,5,25260.38,2018-02-09,57,Shipped,Ships,520.0,S658-1590,Customer_1710,+48-696-3426,7042 Main Street,London,15482,France,LastName_747,FirstName_1842,Small
10021,46,112.94,2,5195.24,2025-06-24,52,On Hold,Trains,149.53,S995-7658,Customer_1995,+80-867-3532,3879 Main Street,London,33206,Italy,LastName_51,FirstName_368,Large
10022,43,393.37,4,16914.91,2025-07-06,127,On Hold,Classic Cars,556.6,S210-7267,Customer_1787,+5-979-8711,3645 Main Street,Berlin,70332,Australia,LastName_626,FirstName_1681,Small
10023,29,21.6,2,626.4,2022-06-21,168,On Hold,Trains,24.36,S891-5573,Customer_720,+83-621-7548,8786 Main Street,Sydney,13617,Canada,LastName_1797,FirstName_1988,Medium
10024,23,294.49,3,6773.27,2018-06-06,55,Resolved,Vintage Cars,364.66,S905-6139,Customer_894,+78-623-2894,6312 Main Street,Tokyo,34914,France,LastName_91,FirstName_1452,Medium
10025,1,264.76,5,264.76,2025-09-14,343,Cancelled,Trucks and Buses,336.91,S780-6409,Customer_1277,+41-779-3041,4921 Main Street,Amsterdam,50538,Italy,LastName_669,FirstName_825,Large
10026,38,281.66,2,10703.08,2022-09-19,340,In Process,Ships,394.11,S278-5930,Customer_832,+71-953-1006,4979 Main Street,Paris,37549,Italy,LastName_1610,FirstName_1188,Large
10027,84,167.9,4,14103.6,2022-12-17,345,Cancelled,Planes,216.47,S915-3780,Customer_1350,+11-390-9445,5492 Main Street,Toronto,40784,France,LastName_461,FirstName_1652,Small
10028,19,21.97,2,417.43,2023-05-01,312,Shipped,Vintage Cars,27.81,S744-4185,Customer_1472,+90-493-9099,6548 Main Street,Berlin,29342,USA,LastName_1829,FirstName_1538,Small
10029,100,218.32,2,21832.0,2025-10-21,265,In Process,Motorcycles,288.83,S968-2988,Customer_935,+18-920-8612,8703 Main Street,Amsterdam,88047,Australia,LastName_1946,FirstName_1547,Medium
10030,79,409.35,5,32338.65,2022-10-14,280,In Process,Classic Cars,572.05,S586-8373,Customer_531,+97-353-5543,8541 Main Street,Madrid,92149,Germany,LastName_563,FirstName_901,Small
10031,92,150.01,3,13800.92,2021-10-07,163,Resolved,Motorcycles,173.31,S336-7275,Customer_1422,+20-823-4505,1053 Main Street,Rome,63424,Australia,LastName_1112,FirstName_955,Medium
10032,8,111.35,4,890.8,2022-05-15,299,Disputed,Motorcycles,160.64,S883-7232,Customer_977,+1-460-5892,6390 Main Street,Rome,80545,Netherlands,LastName_1639,FirstName_1236,Small
10033,63,117.52,4,7403.76,2023-06-13,14,In Process,Trucks and Buses,160.71,S917-7624,Customer_1484,+22-960-8657,2092 Main Street,Tokyo,80008,USA,LastName_1858,FirstName_807,Large
10034,73,334.87,1,24445.51,2025-03-17,219,Cancelled,Trains,430.2,S151-5262,Customer_777,+42-316-8449,5356 Main Street,Sydney,59692,France,LastName_1541,FirstName_1949,Medium
10035,33,419.11,4,13830.63,2018-03-21,276,Shipped,Trucks and Buses,498.61,S170-1659,Customer_1545,+4-353-4266,334 Main Street,Tokyo,29973,Germany,LastName_259,FirstName_970,Large
10036,15,286.35,2,4295.25,2023-03-20,358,On Hold,Trains,357.24,S720-2876,Customer_1593,+21-418-2771,9482 Main Street,New York,50888,Japan,LastName_1388,FirstName_1860,Medium
10037,51,471.32,2,24037.32,2018-11-08,303,Disputed,Trains,636.7,S204-5941,Customer_1742,+88-714-2983,9273 Main Street,New York,55508,Netherlands,LastName_878,FirstName_1355,Medium
10038,9,257.92,3,2321.28,2018-02-21,215,In Process,Motorcycles,328.44,S470-8532,Customer_1449,+20-545-3885,8549 Main Street,Paris,90728,Netherlands,LastName_1587,FirstName_991,Medium
10039,56,414.61,5,23218.16,2021-01-04,165,Cancelled,Trains,611.07,S385-8385,Customer_500,+97-575-7209,5512 Main Street,New York,74789,Australia,LastName_373,FirstName_999,Small
10040,46,400.94,3,18443.24,2021-02-19,305,Disputed,Trucks and Buses,530.17,S629-4130,Customer_176,+31-837-7658,8005 Main Street,Amsterdam,41499,Spain,LastName_1323,FirstName_1458,Medium
10041,58,398.54,1,23115.32,2021-04-20,113,In Process,Ships,477.18,S779-7046,Customer_970,+71-643-6632,6972 Main Street,Amsterdam,53357,Australia,LastName_1440,FirstName_930,Medium
10042,40,133.19,1,5327.6,2020-02-28,161,Shipped,Ships,175.06,S880-4033,Customer_393,+28-856-8933,4531 Main Street,Tokyo,78765,Japan,LastName_580,FirstName_206,Small
10043,38,121.47,2,4615.86,2021-05-23,7,Disputed,Planes,139.77,S146-1893,Customer_1134,+38-814-3068,8043 Main Street,Toronto,11607,Japan,LastName_583,FirstName_962,Medium
10044,57,176.95,1,10086.15,2020-10-31,244,Shipped,Trains,199.27,S603-2213,Customer_1182,+81-802-1878,2486 Main Street,London,83772,France,LastName_175,FirstName_509,Small
10045,72,384.58,5,27689.76,2024-09-07,316,Cancelled,Trains,503.43,S561-8253,Customer_609,+76-539-6003,9317 Main Street,Tokyo,17894,Japan,LastName_1967,FirstName_1516,Small
10046,98,111.82,2,10958.36,2020-12-19,338,Shipped,Classic Cars,133.73,S665-2229,Customer_321,+1-518-8381,9730 Main Street,Madrid,48175,USA,LastName_475,FirstName_591,Large
10047,37,354.46,4,13115.02,2018-10-19,351,Cancelled,Trucks and Buses,501.61,S740-4241,Customer_871,+15-657-4683,2442 Main Street,Paris,28643,Canada,LastName_123,FirstName_340,Medium
10048,77,376.99,5,29028.23,2021-03-28,224,Shipped,Vintage Cars,518.54,S816-7594,Customer_1931,+35-612-9847,8091 Main Street,Madrid,20543,Japan,LastName_82,FirstName_1822,Medium
10049,95,167.94,3,15954.3,2018-04-16,46,Cancelled,Ships,240.89,S689-1339,Customer_1567,+87-941-5415,9442 Main Street,New York,32962,Spain,LastName_1063,FirstName_1335,Medium
10050,36,98.93,5,3561.48,2022-11-21,325,In Process,Motorcycles,127.42,S518-6460,Customer_658,+86-207-3634,5404 Main Street,Rome,74942,France,LastName_1357,FirstName_1936,Medium
10051,98,279.55,4,27395.9,2018-12-27,161,On Hold,Trucks and Buses,320.47,S891-7622,Customer_1772,+66-944-1018,8890 Main Street,Madrid,64165,USA,LastName_385,FirstName_1062,Medium
10052,80,380.66,4,30452.8,2018-07-31,104,On Hold,Planes,438.67,S394-8178,Customer_1804,+90-596-2989,473 Main Street,Tokyo,41365,UK,LastName_637,FirstName_1129,Small
10053,71,209.92,2,14904.32,2019-04-10,236,Shipped,Ships,300.79,S610-5781,Customer_1043,+91-379-7807,7906 Main Street,Madrid,41946,Spain,LastName_1129,FirstName_297,Medium
10054,25,461.72,5,11543.0,2019-07-14,35,On Hold,Trains,653.8,S524-6568,Customer_1914,+65-373-1042,4635 Main Street,Paris,86931,Japan,LastName_1352,FirstName_1003,Small
10055,58,273.9,3,15886.2,2021-09-23,282,Resolved,Vintage Cars,351.18,S429-4090,Customer_1429,+31-685-7274,3827 Main Street,Rome,15720,Australia,LastName_1526,FirstName_969,Large
10056,49,199.18,2,9759.82,2023-07-22,18,Cancelled,Planes,296.01,S439-2644,Customer_1791,+57-202-9617,7487 Main Street,New York,28894,Italy,LastName_1784,FirstName_1341,Small
10057,10,240.05,3,2400.5,2021-10-18,319,Disputed,Vintage Cars,326.45,S972-6383,Customer_1746,+87-979-9742,6227 Main Street,Sydney,92155,Spain,LastName_1787,FirstName_1109,Small
10058,80,43.53,3,3482.4,2020-07-20,46,In Process,Motorcycles,61.12,S820-2646,Customer_909,+22-810-5906,475 Main Street,New York,52516,USA,LastName_601,FirstName_735,Medium
10059,56,81.33,5,4554.48,2022-08-15,289,Disputed,Trains,95.32,S279-2293,Customer_1249,+49-734-4945,8154 Main Street,Tokyo,28758,Germany,LastName_945,FirstName_1307,Medium
10060,59,135.11,1,7971.49,2023-03-21,147,Disputed,Planes,157.16,S552-6661,Customer_1204,+39-754-7951,4098 Main Street,Madrid,49599,Germany,LastName_788,FirstName_1748,Medium
10061,14,126.23,5,1767.22,2022-01-10,294,On Hold,Ships,153.76,S949-7484,Customer_563,+2-679-1803,9936 Main Street,Madrid,47512,Germany,LastName_1244,FirstName_1643,Medium
10062,29,321.94,5,9336.26,2020-10-23,347,Disputed,Trains,439.02,S958-3240,Customer_1287,+13-742-1645,5062 Main Street,Madrid,14373,Japan,LastName_748,FirstName_1500,Small
10063,12,455.72,3,5468.64,2022-08-29,89,Cancelled,Classic Cars,644.66,S997-6994,Customer_1088,+65-379-3695,4211 Main Street,Madrid,48684,Australia,LastName_1648,FirstName_236,Medium
10064,10,78.97,2,789.7,2025-08-02,345,In Process,Trains,112.28,S474-2479,Customer_1620,+51-114-5332,8792 Main Street,Toronto,69609,Australia,LastName_1378,FirstName_1534,Large
10065,34,296.43,3,10078.62,2019-03-20,345,Cancelled,Vintage Cars,329.04,S674-6374,Customer_1875,+79-326-2035,7607 Main Street,Paris,95097,Italy,LastName_239,FirstName_287,Small
10066,5,159.14,4,795.7,2019-04-21,49,Cancelled,Planes,183.69,S564-7078,Customer_1374,+96-813-9850,6867 Main Street,Tokyo,30253,Italy,LastName_1342,FirstName_203,Medium
10067,79,209.98,3,16588.42,2018-05-15,353,On Hold,Classic Cars,268.22,S341-6942,Customer_204,+88-476-9920,5877 Main Street,New York,62184,France,LastName_389,FirstName_1983,Small
10068,59,54.92,2,3240.28,2025-03-13,327,Resolved,Motorcycles,61.52,S441-4990,Customer_258,+73-310-2124,9081 Main Street,Berlin,86858,Germany,LastName_1666,FirstName_1782,Small
10069,43,389.44,5,16745.92,2018-01-12,141,Cancelled,Classic Cars,512.54,S917-3858,Customer_226,+85-987-1422,2160 Main Street,New York,56955,Germany,LastName_1206,FirstName_664,Small
10070,23,140.03,2,3220.69,2022-09-21,269,Shipped,Ships,157.59,S559-6931,Customer_1052,+76-211-8405,8255 Main Street,Berlin,90623,USA,LastName_1490,FirstName_1605,Large
10071,67,157.8,1,10572.6,2018-09-07,245,In Process,Vintage Cars,216.89,S602-8267,Customer_151,+11-429-3430,1077 Main Street,London,46046,Japan,LastName_1297,FirstName_1199,Large
10072,92,169.34,5,15579.28,2023-12-14,150,In Process,Planes,227.28,S201-2874,Customer_1747,+84-766-4522,7047 Main Street,Madrid,39949,Italy,LastName_695,FirstName_1695,Medium
10073,52,213.83,1,11119.16,2021-07-04,218,On Hold,Ships,257.01,S256-8770,Customer_138,+12-951-2398,1528 Main Street,Rome,22656,Australia,LastName_1663,FirstName_267,Large
10074,8,297.37,5,2378.96,2024-04-19,168,Disputed,Motorcycles,375.97,S994-7929,Customer_1778,+93-152-5712,9838 Main Street,Paris,56090,Canada,LastName_1184,FirstName_1040,Small
10075,20,331.8,2,6636.0,2019-03-20,179,Resolved,Trucks and Buses,380.23,S385-4705,Customer_1654,+55-965-1430,9978 Main Street,Paris,13794,UK,LastName_560,FirstName_1440,Medium
10076,44,182.0,2,8008.0,2019-08-10,289,Disputed,Vintage Cars,205.27,S858-1502,Customer_188,+96-643-4524,6164 Main Street,Rome,69460,Australia,LastName_323,FirstName_758,Medium
10077,93,168.95,5,15712.35,2024-09-08,43,Shipped,Classic Cars,196.48,S732-1815,Customer_1381,+11-378-8259,6948 Main Street,Madrid,89570,Spain,LastName_849,FirstName_560,Small
10078,97,261.05,3,25321.85,2022-10-27,56,On Hold,Ships,358.0,S598-9633,Customer_1367,+40-146-4612,6476 Main Street,Tokyo,17180,USA,LastName_419,FirstName_618,Small
10079,99,77.25,3,7647.75,2021-03-31,167,Shipped,Motorcycles,100.34,S540-3878,Customer_265,+49-645-4770,8197 Main Street,Amsterdam,97562,Australia,LastName_148,FirstName_814,Large
10080,6,223.75,4,1342.5,2018-11-15,160,Resolved,Vintage Cars,297.44,S826-7843,Customer_593,+15-514-1341,5322 Main Street,London,91018,Spain,LastName_1704,FirstName_1413,Medium
10081,12,223.99,1,2687.88,2020-09-23,223,Resolved,Vintage Cars,293.33,S505-6083,Customer_1528,+44-326-6456,2755 Main Street,Toronto,76910,Canada,LastName_1087,FirstName_1045,Small
10082,100,181.19,2,18119.0,2020-08-25,52,Cancelled,Trucks and Buses,213.61,S716-3504,Customer_1557,+98-771-2234,2903 Main Street,Madrid,70811,Japan,LastName_1557,FirstName_1187,Medium
10083,88,462.84,5,40729.92,2025-03-18,325,Resolved,Trucks and Buses,669.13,S742-6179,Customer_310,+57-169-8682,7246 Main Street,Paris,46002,Japan,LastName_116,FirstName_721,Large
10084,10,162.1,4,1621.0,2018-06-04,29,On Hold,Trains,196.92,S760-2479,Customer_1260,+77-619-7299,7582 Main Street,Tokyo,82655,USA,LastName_922,FirstName_1862,Large
10085,84,102.24,5,8588.16,2023-05-03,256,Cancelled,Motorcycles,130.89,S930-6626,Customer_1463,+11-616-3827,642 Main Street,Berlin,67377,Spain,LastName_1074,FirstName_1071,Large
10086,21,188.31,3,3954.51,2022-05-06,209,On Hold,Ships,252.18,S908-6482,Customer_135,+43-196-7333,4656 Main Street,Paris,96057,Japan,LastName_1789,FirstName_308,Medium
10087,11,295.54,2,3250.94,2021-12-03,158,Disputed,Ships,403.37,S232-2388,Customer_635,+72-485-6381,2094 Main Street,Amsterdam,22249,Italy,LastName_1042,FirstName_742,Small
10088,47,161.34,2,7582.98,2021-10-31,248,Cancelled,Classic Cars,242.01,S258-2264,Customer_606,+13-619-9843,8627 Main Street,New York,96760,Australia,LastName_1795,FirstName_1570,Large
10089,17,302.65,2,5145.05,2019-10-27,92,Disputed,Trains,408.55,S269-8170,Customer_90,+53-473-4891,7278 Main Street,Tokyo,47346,Spain,LastName_480,FirstName_1094,Small
10090,40,483.14,4,19325.6,2020-03-05,188,Disputed,Planes,721.7,S572-5616,Customer_1594,+49-614-9641,6860 Main Street,London,36174,Japan,LastName_284,FirstName_1788,Medium
10091,7,324.18,3,2269.26,2024-03-21,52,Disputed,Trains,423.5,S227-5670,Customer_172,+98-264-5469,7362 Main Street,Amsterdam,29313,Italy,LastName_188,FirstName_1939,Small
10092,58,443.47,1,25721.26,2022-08-27,27,In Process,Planes,554.15,S495-2337,Customer_768,+29-128-6221,1624 Main Street,Sydney,29142,UK,LastName_79,FirstName_588,Medium
10093,90,417.24,4,37551.6,2023-01-12,315,Shipped,Motorcycles,462.14,S320-3449,Customer_1124,+94-723-9647,6935 Main Street,Toronto,47762,Germany,LastName_617,FirstName_250,Small
10094,31,215.71,5,6687.01,2023-02-16,32,Shipped,Trains,315.38,S711-9782,Customer_34,+81-627-4963,2353 Main Street,Paris,66261,USA,LastName_1260,FirstName_723,Small
10095,74,214.12,1,15844.88,2023-11-15,184,Shipped,Planes,282.13,S905-9316,Customer_1135,+3-499-8702,714 Main Street,Rome,58929,France,LastName_1531,FirstName_34,Medium
10096,9,178.95,1,1610.55,2024-07-11,170,Cancelled,Motorcycles,222.06,S446-3868,Customer_1701,+88-575-8840,2987 Main Street,London,18270,Spain,LastName_76,FirstName_601,Small
10097,6,397.64,1,2385.84,2021-07-16,158,Resolved,Vintage Cars,594.73,S656-8756,Customer_519,+5-871-4131,4688 Main Street,Sydney,16265,Australia,LastName_560,FirstName_255,Medium
10098,56,445.85,4,24967.6,2022-05-03,173,Cancelled,Vintage Cars,613.86,S476-9507,Customer_547,+11-844-7955,1294 Main Street,Rome,88964,UK,LastName_1118,FirstName_602,Medium
10099,14,49.23,3,689.22,2021-06-09,228,Resolved,Ships,62.54,S806-8272,Customer_720,+58-143-6776,7127 Main Street,Paris,93816,USA,LastName_154,FirstName_1375,Large
10100,52,188.02,2,9777.04,2018-05-08,73,Resolved,Ships,265.58,S135-3068,Customer_138,+31-897-7001,5934 Main Street,Rome,84349,USA,LastName_1240,FirstName_315,Large
10101,58,474.92,3,27545.36,2022-12-24,39,Resolved,Classic Cars,622.99,S507-6150,Customer_1331,+36-355-2858,425 Main Street,London,75410,Netherlands,LastName_793,FirstName_1871,Large
10102,16,138.27,3,2212.32,2025-11-23,228,Cancelled,Planes,167.89,S602-4279,Customer_252,+18-973-2213,7407 Main Street,London,68341,Canada,LastName_1660,FirstName_1397,Medium
10103,86,180.24,1,15500.64,2024-03-02,277,On Hold,Trucks and Buses,259.64,S828-3852,Customer_1626,+47-620-4673,1989 Main Street,Berlin,28202,Germany,LastName_1619,FirstName_1012,Small
10104,47,281.47,3,13229.09,2023-03-30,282,Cancelled,Planes,409.17,S167-6067,Customer_816,+92-836-8842,8613 Main Street,Rome,63665,Japan,LastName_152,FirstName_257,Medium
10105,83,46.34,4,3846.22,2025-08-17,264,On Hold,Classic Cars,67.25,S898-3981,Customer_1573,+17-543-9238,908 Main Street,Toronto,77908,UK,LastName_623,FirstName_338,Small
10106,42,468.02,2,19656.84,2021-11-18,265,On Hold,Trains,529.59,S301-5496,Customer_257,+81-410-9740,1531 Main Street,Amsterdam,94015,UK,LastName_1213,FirstName_1929,Large
10107,20,93.89,5,1877.8,2024-10-14,172,Resolved,Motorcycles,134.27,S129-2330,Customer_94,+83-889-5336,3454 Main Street,Tokyo,64602,Japan,LastName_1309,FirstName_63,Medium
10108,81,277.33,3,22463.73,2023-06-02,125,Disputed,Vintage Cars,338.06,S174-1981,Customer_324,+57-525-8933,7610 Main Street,Berlin,54589,Japan,LastName_295,FirstName_641,Large
10109,41,369.76,3,15160.16,2022-06-22,66,On Hold,Planes,489.81,S426-4960,Customer_956,+16-373-8366,4062 Main Street,London,22689,USA,LastName_595,FirstName_1937,Medium
10110,79,214.89,2,16976.31,2021-09-03,295,Disputed,Trucks and Buses,252.7,S263-9163,Customer_1055,+60-610-6055,8149 Main Street,New York,21802,Italy,LastName_1036,FirstName_937,Small
10111,28,295.84,1,8283.52,2018-07-27,144,In Process,Planes,429.84,S769-8710,Customer_586,+69-108-2761,7061 Main Street,London,44664,Australia,LastName_1565,FirstName_826,Medium
10112,6,206.28,5,1237.68,2024-04-20,99,On Hold,Planes,250.72,S495-9261,Customer_923,+98-663-5582,1947 Main Street,London,22672,Italy,LastName_765,FirstName_1628,Medium
10113,72,470.08,2,33845.76,2020-03-26,308,Resolved,Vintage Cars,611.12,S146-1637,Customer_281,+92-441-8761,8509 Main Street,Madrid,29521,Japan,LastName_1830,FirstName_1056,Small
10114,42,466.37,3,19587.54,2019-10-28,201,Resolved,Ships,670.19,S707-6511,Customer_1039,+66-645-9025,9223 Main Street,Paris,72245,USA,LastName_755,FirstName_679,Large
10115,15,490.15,5,7352.25,2021-06-14,352,Disputed,Motorcycles,656.2,S371-4728,Customer_1478,+7-697-8871,2794 Main Street,Amsterdam,92447,Japan,LastName_1587,FirstName_1723,Medium
10116,19,412.61,2,7839.59,2018-05-10,293,Disputed,Motorcycles,485.36,S551-6139,Customer_858,+20-522-4340,6724 Main Street,Amsterdam,90147,Spain,LastName_1788,FirstName_1738,Large
10117,94,40.52,2,3808.88,2023-10-26,106,Resolved,Trucks and Buses,60.75,S589-9609,Customer_772,+41-277-8531,8735 Main Street,Sydney,81601,Australia,LastName_1385,FirstName_1582,Large
10118,88,325.22,3,28619.36,2024-11-03,247,Cancelled,Classic Cars,394.04,S405-4684,Customer_1929,+39-889-5735,3397 Main Street,Madrid,51555,Spain,LastName_715,FirstName_1148,Large
10119,36,151.02,5,5436.72,2025-08-03,278,In Process,Vintage Cars,215.56,S891-3399,Customer_595,+6-394-2294,5675 Main Street,Madrid,95979,France,LastName_1531,FirstName_982,Small
10120,26,415.7,3,10808.2,2024-04-21,356,On Hold,Classic Cars,475.43,S858-4920,Customer_497,+7-785-9700,3698 Main Street,Berlin,16880,Canada,LastName_847,FirstName_677,Large
10121,61,59.27,2,3615.47,2018-01-22,281,Cancelled,Vintage Cars,80.68,S999-8793,Customer_978,+84-304-5706,5263 Main Street,Paris,94659,USA,LastName_1860,FirstName_1575,Small
10122,84,291.33,5,24471.72,2018-06-02,89,In Process,Trains,340.95,S137-7504,Customer_1614,+64-290-5742,614 Main Street,New York,49110,Japan,LastName_1235,FirstName_220,Medium
10123,37,232.63,5,8607.31,2023-11-18,252,Cancelled,Trains,302.81,S379-4159,Customer_1657,+15-438-3662,7519 Main Street,Paris,34405,USA,LastName_1509,FirstName_691,Medium
10124,73,340.46,2,24853.58,2019-12-20,312,Disputed,Vintage Cars,487.13,S627-6372,Customer_178,+52-785-2562,3028 Main Street,London,72580,Australia,LastName_1917,FirstName_509,Small
10125,34,197.95,4,6730.3,2020-12-29,168,On Hold,Planes,274.98,S111-5285,Customer_1339,+47-809-4871,1018 Main Street,Toronto,71000,France,LastName_328,FirstName_831,Large
10126,65,462.32,3,30050.8,2025-09-28,60,Disputed,Trucks and Buses,576.52,S326-4590,Customer_1961,+18-589-3509,7455 Main Street,Tokyo,58971,Italy,LastName_1438,FirstName_1125,Medium
10127,97,273.38,2,26517.86,2020-10-10,348,Resolved,Trains,386.82,S638-8319,Customer_1082,+91-470-2279,9244 Main Street,Toronto,18094,Netherlands,LastName_1850,FirstName_1036,Small
10128,74,272.96,2,20199.04,2021-09-05,266,In Process,Motorcycles,374.53,S834-9008,Customer_187,+66-556-1911,7430 Main Street,London,77272,Italy,LastName_936,FirstName_1155,Small
10129,72,236.57,3,17033.04,2018-03-31,202,On Hold,Trains,260.51,S323-2196,Customer_93,+55-452-2044,8867 Main Street,New York,19046,Spain,LastName_65,FirstName_588,Medium
10130,24,386.8,4,9283.2,2022-03-14,195,In Process,Trains,567.38,S486-7154,Customer_165,+88-777-9835,2179 Main Street,Sydney,25549,UK,LastName_1101,FirstName_805,Large
10131,17,366.65,2,6233.05,2018-01-15,11,On Hold,Vintage Cars,502.09,S657-7948,Customer_1090,+49-943-4762,4056 Main Street,Madrid,55371,UK,LastName_565,FirstName_387,Large
10132,98,65.29,4,6398.42,2024-11-23,8,Cancelled,Classic Cars,73.58,S708-1550,Customer_915,+77-788-1797,4010 Main Street,New York,62725,Spain,LastName_480,FirstName_1106,Small
10133,97,433.23,1,42023.31,2019-07-28,257,On Hold,Classic Cars,617.92,S849-6224,Customer_1183,+77-891-6253,3882 Main Street,Paris,28777,Netherlands,LastName_453,FirstName_847,Medium
10134,36,39.87,5,1435.32,2019-12-19,320,Disputed,Vintage Cars,52.72,S148-6642,Customer_1929,+83-787-7244,8593 Main Street,Sydney,64568,Italy,LastName_306,FirstName_615,Medium
10135,24,379.66,4,9111.84,2020-09-14,115,On Hold,Trains,525.08,S925-8586,Customer_1874,+8-675-7761,6825 Main Street,Amsterdam,79467,UK,LastName_796,FirstName_498,Medium
10136,27,171.83,1,4639.41,2023-01-17,189,Shipped,Planes,238.82,S295-1844,Customer_550,+49-789-1647,1193 Main Street,Berlin,87015,Netherlands,LastName_445,FirstName_982,Small
10137,43,158.56,1,6818.08,2020-05-17,97,Disputed,Motorcycles,221.79,S872-8846,Customer_1873,+32-812-4350,6499 Main Street,Berlin,82362,Australia,LastName_1589,FirstName_580,Medium
10138,60,271.49,3,16289.4,2021-06-17,133,On Hold,Planes,394.51,S577-2615,Customer_1645,+93-580-6246,3329 Main Street,Sydney,51015,Italy,LastName_94,FirstName_1153,Small
10139,95,81.5,3,7742.5,2024-03-16,299,Resolved,Ships,103.26,S256-4214,Customer_676,+30-488-5026,8181 Main Street,Amsterdam,95800,Australia,LastName_528,FirstName_1564,Medium
